filename,partition,semantic_label,numeric_label
00000.jpg,train,OUTERWEAR,0
00001.jpg,train,PANTS,3
00002.jpg,train,PANTS,3
00003.jpg,train,TOPS,2
00004.jpg,train,OUTERWEAR,0
00005.jpg,train,SWEATERS,1
00006.jpg,train,PANTS,3
00007.jpg,train,TOPS,2
00008.jpg,train,PANTS,3
00009.jpg,train,SWEATERS,1
00010.jpg,train,TOPS,2
00011.jpg,train,JEANS,4
00012.jpg,train,OUTERWEAR,0
00013.jpg,train,JEANS,4
00014.jpg,train,JEANS,4
00015.jpg,train,JEANS,4
00016.jpg,train,TOPS,2
00017.jpg,train,SWEATERS,1
00018.jpg,train,OUTERWEAR,0
00019.jpg,train,JEANS,4
00020.jpg,train,SWEATERS,1
00021.jpg,train,PANTS,3
00022.jpg,train,SWEATERS,1
00023.jpg,train,JEANS,4
00024.jpg,train,OUTERWEAR,0
00025.jpg,train,TOPS,2
00026.jpg,train,TOPS,2
00027.jpg,train,JEANS,4
00028.jpg,train,PANTS,3
00029.jpg,train,SWEATERS,1
00030.jpg,train,SWEATERS,1
00031.jpg,train,TOPS,2
00032.jpg,train,PANTS,3
00033.jpg,train,TOPS,2
00034.jpg,train,OUTERWEAR,0
00035.jpg,train,OUTERWEAR,0
00036.jpg,train,SWEATERS,1
00037.jpg,train,TOPS,2
00038.jpg,train,PANTS,3
00039.jpg,train,SWEATERS,1
00040.jpg,train,PANTS,3
00041.jpg,train,OUTERWEAR,0
00042.jpg,train,OUTERWEAR,0
00043.jpg,train,PANTS,3
00044.jpg,train,TOPS,2
00045.jpg,train,OUTERWEAR,0
00046.jpg,train,SWEATERS,1
00047.jpg,train,OUTERWEAR,0
00048.jpg,train,JEANS,4
00049.jpg,train,OUTERWEAR,0
00050.jpg,train,PANTS,3
00051.jpg,train,JEANS,4
00052.jpg,train,SWEATERS,1
00053.jpg,train,JEANS,4
00054.jpg,train,TOPS,2
00055.jpg,train,JEANS,4
00056.jpg,train,PANTS,3
00057.jpg,train,PANTS,3
00058.jpg,train,PANTS,3
00059.jpg,train,PANTS,3
00060.jpg,train,JEANS,4
00061.jpg,train,OUTERWEAR,0
00062.jpg,train,PANTS,3
00063.jpg,train,PANTS,3
00064.jpg,train,PANTS,3
00065.jpg,train,JEANS,4
00066.jpg,train,PANTS,3
00067.jpg,train,SWEATERS,1
00068.jpg,train,OUTERWEAR,0
00069.jpg,train,SWEATERS,1
00070.jpg,train,OUTERWEAR,0
00071.jpg,train,PANTS,3
00072.jpg,train,PANTS,3
00073.jpg,train,JEANS,4
00074.jpg,train,PANTS,3
00075.jpg,train,SWEATERS,1
00076.jpg,train,OUTERWEAR,0
00077.jpg,train,OUTERWEAR,0
00078.jpg,train,PANTS,3
00079.jpg,train,JEANS,4
00080.jpg,train,OUTERWEAR,0
00081.jpg,train,TOPS,2
00082.jpg,train,OUTERWEAR,0
00083.jpg,train,SWEATERS,1
00084.jpg,train,TOPS,2
00085.jpg,train,TOPS,2
00086.jpg,train,SWEATERS,1
00087.jpg,train,TOPS,2
00088.jpg,train,PANTS,3
00089.jpg,train,TOPS,2
00090.jpg,train,JEANS,4
00091.jpg,train,SWEATERS,1
00092.jpg,train,OUTERWEAR,0
00093.jpg,train,SWEATERS,1
00094.jpg,train,OUTERWEAR,0
00095.jpg,train,SWEATERS,1
00096.jpg,train,PANTS,3
00097.jpg,train,TOPS,2
00098.jpg,train,OUTERWEAR,0
00099.jpg,train,JEANS,4
00100.jpg,train,SWEATERS,1
00101.jpg,train,PANTS,3
00102.jpg,train,PANTS,3
00103.jpg,train,JEANS,4
00104.jpg,train,SWEATERS,1
00105.jpg,train,TOPS,2
00106.jpg,train,SWEATERS,1
00107.jpg,train,OUTERWEAR,0
00108.jpg,train,OUTERWEAR,0
00109.jpg,train,TOPS,2
00110.jpg,train,SWEATERS,1
00111.jpg,train,TOPS,2
00112.jpg,train,SWEATERS,1
00113.jpg,train,OUTERWEAR,0
00114.jpg,train,SWEATERS,1
00115.jpg,train,PANTS,3
00116.jpg,train,TOPS,2
00117.jpg,train,SWEATERS,1
00118.jpg,train,TOPS,2
00119.jpg,train,PANTS,3
00120.jpg,train,OUTERWEAR,0
00121.jpg,train,OUTERWEAR,0
00122.jpg,train,JEANS,4
00123.jpg,train,JEANS,4
00124.jpg,train,OUTERWEAR,0
00125.jpg,train,JEANS,4
00126.jpg,train,PANTS,3
00127.jpg,train,PANTS,3
00128.jpg,train,TOPS,2
00129.jpg,train,JEANS,4
00130.jpg,train,JEANS,4
00131.jpg,train,OUTERWEAR,0
00132.jpg,train,OUTERWEAR,0
00133.jpg,train,TOPS,2
00134.jpg,train,PANTS,3
00135.jpg,train,PANTS,3
00136.jpg,train,PANTS,3
00137.jpg,train,JEANS,4
00138.jpg,train,JEANS,4
00139.jpg,train,JEANS,4
00140.jpg,train,JEANS,4
00141.jpg,train,PANTS,3
00142.jpg,train,SWEATERS,1
00143.jpg,train,TOPS,2
00144.jpg,train,JEANS,4
00145.jpg,train,PANTS,3
00146.jpg,train,TOPS,2
00147.jpg,train,PANTS,3
00148.jpg,train,SWEATERS,1
00149.jpg,train,JEANS,4
00150.jpg,train,OUTERWEAR,0
00151.jpg,train,PANTS,3
00152.jpg,train,TOPS,2
00153.jpg,train,OUTERWEAR,0
00154.jpg,train,PANTS,3
00155.jpg,train,JEANS,4
00156.jpg,train,SWEATERS,1
00157.jpg,train,JEANS,4
00158.jpg,train,SWEATERS,1
00159.jpg,train,TOPS,2
00160.jpg,train,JEANS,4
00161.jpg,train,JEANS,4
00162.jpg,train,PANTS,3
00163.jpg,train,JEANS,4
00164.jpg,train,OUTERWEAR,0
00165.jpg,train,SWEATERS,1
00166.jpg,train,SWEATERS,1
00167.jpg,train,PANTS,3
00168.jpg,train,JEANS,4
00169.jpg,train,JEANS,4
00170.jpg,train,TOPS,2
00171.jpg,train,JEANS,4
00172.jpg,train,PANTS,3
00173.jpg,train,SWEATERS,1
00174.jpg,train,OUTERWEAR,0
00175.jpg,train,JEANS,4
00176.jpg,train,PANTS,3
00177.jpg,train,TOPS,2
00178.jpg,train,JEANS,4
00179.jpg,train,JEANS,4
00180.jpg,train,OUTERWEAR,0
00181.jpg,train,TOPS,2
00182.jpg,train,SWEATERS,1
00183.jpg,train,JEANS,4
00184.jpg,train,OUTERWEAR,0
00185.jpg,train,OUTERWEAR,0
00186.jpg,train,JEANS,4
00187.jpg,train,SWEATERS,1
00188.jpg,train,SWEATERS,1
00189.jpg,train,OUTERWEAR,0
00190.jpg,train,OUTERWEAR,0
00191.jpg,train,JEANS,4
00192.jpg,train,OUTERWEAR,0
00193.jpg,train,PANTS,3
00194.jpg,train,TOPS,2
00195.jpg,train,OUTERWEAR,0
00196.jpg,train,OUTERWEAR,0
00197.jpg,train,TOPS,2
00198.jpg,train,OUTERWEAR,0
00199.jpg,train,JEANS,4
00200.jpg,train,TOPS,2
00201.jpg,train,SWEATERS,1
00202.jpg,train,SWEATERS,1
00203.jpg,train,TOPS,2
00204.jpg,train,TOPS,2
00205.jpg,train,SWEATERS,1
00206.jpg,train,OUTERWEAR,0
00207.jpg,train,JEANS,4
00208.jpg,train,SWEATERS,1
00209.jpg,train,OUTERWEAR,0
00210.jpg,train,OUTERWEAR,0
00211.jpg,train,TOPS,2
00212.jpg,train,TOPS,2
00213.jpg,train,OUTERWEAR,0
00214.jpg,train,SWEATERS,1
00215.jpg,train,SWEATERS,1
00216.jpg,train,PANTS,3
00217.jpg,train,TOPS,2
00218.jpg,train,OUTERWEAR,0
00219.jpg,train,SWEATERS,1
00220.jpg,train,JEANS,4
00221.jpg,train,JEANS,4
00222.jpg,train,JEANS,4
00223.jpg,train,TOPS,2
00224.jpg,train,PANTS,3
00225.jpg,train,PANTS,3
00226.jpg,train,JEANS,4
00227.jpg,train,OUTERWEAR,0
00228.jpg,train,PANTS,3
00229.jpg,train,TOPS,2
00230.jpg,train,PANTS,3
00231.jpg,train,PANTS,3
00232.jpg,train,PANTS,3
00233.jpg,train,PANTS,3
00234.jpg,train,SWEATERS,1
00235.jpg,train,SWEATERS,1
00236.jpg,train,JEANS,4
00237.jpg,train,OUTERWEAR,0
00238.jpg,train,JEANS,4
00239.jpg,train,JEANS,4
00240.jpg,train,PANTS,3
00241.jpg,train,PANTS,3
00242.jpg,train,PANTS,3
00243.jpg,train,PANTS,3
00244.jpg,train,PANTS,3
00245.jpg,train,TOPS,2
00246.jpg,train,PANTS,3
00247.jpg,train,JEANS,4
00248.jpg,train,TOPS,2
00249.jpg,train,PANTS,3
00250.jpg,train,SWEATERS,1
00251.jpg,train,SWEATERS,1
00252.jpg,train,PANTS,3
00253.jpg,train,PANTS,3
00254.jpg,train,SWEATERS,1
00255.jpg,train,SWEATERS,1
00256.jpg,train,OUTERWEAR,0
00257.jpg,train,JEANS,4
00258.jpg,train,TOPS,2
00259.jpg,train,SWEATERS,1
00260.jpg,train,TOPS,2
00261.jpg,train,PANTS,3
00262.jpg,train,TOPS,2
00263.jpg,train,OUTERWEAR,0
00264.jpg,train,PANTS,3
00265.jpg,train,TOPS,2
00266.jpg,train,JEANS,4
00267.jpg,train,PANTS,3
00268.jpg,train,SWEATERS,1
00269.jpg,train,SWEATERS,1
00270.jpg,train,TOPS,2
00271.jpg,train,TOPS,2
00272.jpg,train,PANTS,3
00273.jpg,train,PANTS,3
00274.jpg,train,TOPS,2
00275.jpg,train,OUTERWEAR,0
00276.jpg,train,PANTS,3
00277.jpg,train,TOPS,2
00278.jpg,train,OUTERWEAR,0
00279.jpg,train,PANTS,3
00280.jpg,train,PANTS,3
00281.jpg,train,SWEATERS,1
00282.jpg,train,PANTS,3
00283.jpg,train,PANTS,3
00284.jpg,train,SWEATERS,1
00285.jpg,train,SWEATERS,1
00286.jpg,train,PANTS,3
00287.jpg,train,TOPS,2
00288.jpg,train,TOPS,2
00289.jpg,train,SWEATERS,1
00290.jpg,train,TOPS,2
00291.jpg,train,TOPS,2
00292.jpg,train,TOPS,2
00293.jpg,train,OUTERWEAR,0
00294.jpg,train,PANTS,3
00295.jpg,train,OUTERWEAR,0
00296.jpg,train,SWEATERS,1
00297.jpg,train,PANTS,3
00298.jpg,train,SWEATERS,1
00299.jpg,train,JEANS,4
00300.jpg,train,PANTS,3
00301.jpg,train,SWEATERS,1
00302.jpg,train,TOPS,2
00303.jpg,train,OUTERWEAR,0
00304.jpg,train,JEANS,4
00305.jpg,train,JEANS,4
00306.jpg,train,OUTERWEAR,0
00307.jpg,train,JEANS,4
00308.jpg,train,SWEATERS,1
00309.jpg,train,TOPS,2
00310.jpg,train,SWEATERS,1
00311.jpg,train,SWEATERS,1
00312.jpg,train,PANTS,3
00313.jpg,train,SWEATERS,1
00314.jpg,train,OUTERWEAR,0
00315.jpg,train,TOPS,2
00316.jpg,train,TOPS,2
00317.jpg,train,OUTERWEAR,0
00318.jpg,train,JEANS,4
00319.jpg,train,SWEATERS,1
00320.jpg,train,PANTS,3
00321.jpg,train,OUTERWEAR,0
00322.jpg,train,OUTERWEAR,0
00323.jpg,train,SWEATERS,1
00324.jpg,train,OUTERWEAR,0
00325.jpg,train,JEANS,4
00326.jpg,train,JEANS,4
00327.jpg,train,TOPS,2
00328.jpg,train,TOPS,2
00329.jpg,train,PANTS,3
00330.jpg,train,OUTERWEAR,0
00331.jpg,train,OUTERWEAR,0
00332.jpg,train,JEANS,4
00333.jpg,train,PANTS,3
00334.jpg,train,PANTS,3
